COMBINED FILE CREATED: Fri, Oct 29, 2021 
NSORT-ed   #41_T22_20_t53'02'50.ABS	  +  none	  +  none	 + none
normalized to   #41_T22_20_t53'02'50.ABS
multiplicative factor 1-2 =            1	 multiplicative factor 2-3 =            1	 multiplicative factor 3-4 =            1
The 6 columns are | Q (1/A) | I(Q) (1/cm) | std. dev. I(Q) (1/cm) | sigmaQ | meanQ | ShadowFactor|
        0.00194            1266           95.96       0.0004984           0.002          0.9997
       0.002182            1140            62.8       0.0004995        0.002236               1
       0.002425            1107           14.66       0.0005011        0.002473               1
       0.002667           943.9           16.06       0.0005033        0.002711               1
        0.00291           799.1           12.32        0.000506         0.00295               1
       0.003152           662.1           14.06        0.000509        0.003189               1
       0.003395           531.4           11.49       0.0005124        0.003429               1
       0.003637           433.7           10.81       0.0005161        0.003669               1
        0.00388           347.7           10.36         0.00052         0.00391               1
       0.004122           268.4           5.835       0.0005243         0.00415               1
       0.004365           208.9           6.686       0.0005288        0.004391               1
       0.004607           156.8           4.192       0.0005336        0.004633               1
        0.00485           117.3           4.242       0.0005386        0.004874               1
       0.005092           86.89           2.056       0.0005439        0.005115               1
       0.005335           64.16           2.765       0.0005494        0.005357               1
       0.005577           47.85           1.094        0.000555        0.005598               1
        0.00582           37.29           1.427       0.0005609         0.00584               1
       0.006062           29.42          0.6988        0.000567        0.006081               1
       0.006299           24.24           1.014       0.0005731        0.006317               1
       0.006541            20.7          0.7544       0.0005795        0.006559               1
       0.006783            18.6          0.5408       0.0005861          0.0068               1
       0.007025           16.01          0.6227       0.0005929        0.007042               1
       0.007268            14.8          0.6495       0.0005998        0.007284               1
        0.00751           13.34          0.4614       0.0006069        0.007525               1
       0.007752           12.32          0.4772       0.0006142        0.007767               1
       0.007994           10.85           0.383       0.0006216        0.008009               1
       0.008237           10.39          0.4344       0.0006291        0.008251               1
       0.008479            8.68          0.3182       0.0006367        0.008492               1
       0.008721           7.888          0.4565       0.0006445        0.008734               1
       0.008963           7.003          0.3332       0.0006524        0.008976               1
       0.009206           6.297          0.3218       0.0006605        0.009218               1
       0.009448           5.526          0.2238       0.0006686         0.00946               1
        0.00969           5.039          0.2768       0.0006769        0.009702               1
       0.009932           4.513          0.2642       0.0006852        0.009944               1
        0.01017            3.96           0.251       0.0006937         0.01019               1
        0.01042           3.629          0.2201       0.0007023         0.01043               1
        0.01066           3.346          0.1722       0.0007109         0.01067               1
         0.0109           3.109          0.2268       0.0007197         0.01091               1
        0.01114            2.97          0.1954       0.0007285         0.01115               1
        0.01139           2.688          0.1854       0.0007375          0.0114               1
        0.01163           2.427           0.146       0.0007465         0.01164               1
        0.01187           2.255          0.1784       0.0007556         0.01188               1
        0.01211           2.094          0.1588       0.0007647         0.01212               1
        0.01235           2.074          0.1688        0.000774         0.01236               1
         0.0126           1.887          0.1326       0.0007833         0.01261               1
        0.01284           1.788          0.1563       0.0007927         0.01285               1
        0.01308           1.636          0.1286       0.0008021         0.01309               1
        0.01332           1.561          0.1445       0.0008116         0.01333               1
        0.01357           1.336          0.1438       0.0008212         0.01357               1
        0.01381           1.454          0.1103       0.0008308         0.01382               1
        0.01405           1.195          0.1085       0.0008405         0.01406               1
        0.01429           1.169          0.1233       0.0008503          0.0143               1
        0.01454           1.178          0.1111       0.0008601         0.01454               1
        0.01478           1.155          0.1015       0.0008699         0.01479               1
        0.01502           1.118          0.1316       0.0008798         0.01503               1
        0.01526          0.9902           0.105       0.0008897         0.01527               1
         0.0155          0.9826          0.1137       0.0008997         0.01551               1
        0.01575          0.9349         0.09424       0.0009098         0.01575               1
        0.01599          0.9711          0.1096       0.0009199           0.016               1
       
